TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,Fixation.started,Fixation.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Begin_3.started,Begin_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,0,0,0,0,,,,,,,,,,,,,,,,,0.010463150007126387,None,0.4872700500054634,None,0.9746969500047271,None,['return'],[0.4237691000016639],51.3250990000015,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.15396270000201184],51.77482250000321,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.12697270000353456],51.958016000004136,None,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
9.0,8.0,1.0,0.0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.10833230000571,None,,,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,67.11954540000443,None,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
0.0,5.0,8.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,77.12286965000457,None,77.13649740000255,None,0.01540969999769004,None,0.49752730000182055,None,0.9641046999968239,None,['return'],[0.9406263999990188],80.58121270000265,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
0.0,5.0,8.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.7893400000029942],81.53945220000605,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
0.0,5.0,8.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.7594855999996071],82.35552170000301,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
0.0,5.0,8.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
1.0,8.0,6.0,5.0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,83.13874810000561,None,0.013042049999057781,None,0.492833750002319,None,0.9760484500002349,None,['return'],[0.6292804999975488],86.57770210000308,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
1.0,8.0,6.0,5.0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.3486246999964351],87.24316800000088,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
1.0,8.0,6.0,5.0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.32185629999730736],87.62201990000176,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
1.0,8.0,6.0,5.0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
2.0,9.0,5.0,6.0,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,87.97171670000535,None,0.013741249997110572,None,0.49721095000131754,None,0.9606856499958667,None,['return'],[0.38930160000018077],91.40550690000237,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
2.0,9.0,5.0,6.0,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.1981205999982194],91.8217364000011,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
2.0,9.0,5.0,6.0,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.20662669999728678],92.03825860000507,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
2.0,9.0,5.0,6.0,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
3.0,5.0,9.0,4.0,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,92.27138840000407,None,0.013025749998632818,None,0.49244694999651983,None,0.9755239499936579,None,['return'],[1.28985300000204],95.72311760000593,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
3.0,5.0,9.0,4.0,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.4012172000002465],97.03769530000136,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
3.0,5.0,9.0,4.0,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.4046310999983689],97.47215060000599,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
3.0,5.0,9.0,4.0,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
4.0,0.0,8.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,97.90440810000291,None,0.016318399997544475,None,0.48275529999955324,None,0.965837299998384,None,None,,101.37045290000387,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
4.0,0.0,8.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.9870570999992196],101.3618992000047,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
4.0,0.0,8.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.5072423000019626],102.37090690000332,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
4.0,0.0,8.0,2.0,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
5.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,102.90400539999973,None,0.013824399997247383,None,0.4774314000023878,None,0.9608305000001565,None,['return'],[0.9800879999966128],106.3538422000056,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
5.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.43491699999867706],107.35388610000518,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
5.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.45429990000411635],107.82157680000091,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
5.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.34158759999991,None,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
6.0,1.0,9.0,5.0,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,109.77016390000063,None,0.01113975000771461,None,0.48885285000142176,None,0.9554663500020979,None,['return'],[0.7369040999983554],113.21989250000479,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
6.0,1.0,9.0,5.0,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.44920819999970263],113.98659020000196,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
6.0,1.0,9.0,5.0,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.4664402999987942],114.4533395000035,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
6.0,1.0,9.0,5.0,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
7.0,9.0,1.0,6.0,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,114.93642140000156,None,0.010605100003886037,None,0.48761039999953937,None,0.9544193000037922,None,None,,118.40258630000753,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
7.0,9.0,1.0,6.0,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[1.4452631999956793],118.39547060000041,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
7.0,9.0,1.0,6.0,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.49332460000005085],119.86955239999952,None,,,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
7.0,9.0,1.0,6.0,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1,001,2021_Oct_15_1323,eeg_contingent_digits,2021.2.3,60.07849856508575,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.38591480000468,None,0.016296300011163112,None,0.4824470000094152,None,0.9862944000051357,None,,,,,,,,,,,,,
