seq,id,block,videoFile,condition,video,speaker,callSign,colour,number,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,firstHalf.thisRepN,firstHalf.thisTrialN,firstHalf.thisN,firstHalf.thisIndex,secondHalf.thisRepN,secondHalf.thisTrialN,secondHalf.thisN,secondHalf.thisIndex,blocksB.thisRepN,blocksB.thisTrialN,blocksB.thisN,blocksB.thisIndex,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp01_Ti_Ge_2_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp01,Ti,Ge,2,,,,,,,,,,,,,0,0,0,0,0,20,20,1,-0.4222222222222222,-0.14675925925925926,1,0,0,5.510075500000312,call3,0.03611111111111111,0.362962962962963,1,0,0,6.062402200001088,colour1,0.43472222222222223,0.12129629629629629,1,0,0,6.5569230999990396,number2,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp07_Un_Gr_3_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp07,Un,Gr,3,,,,,,,,,,,,,0,0,0,0,0,21,21,22,-0.4152777777777778,-0.11064814814814815,1,0,0,4.677254000000175,call3,-0.044444444444444446,0.14074074074074075,1,0,0,5.0522191999989445,colour2,0.5055555555555555,-0.2300925925925926,1,0,0,5.48827429999983,number3,False,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp01_Un_We_4_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp01,Un,We,4,,,,,,,,,,,,,0,0,0,0,0,22,22,31,-0.35694444444444445,-0.08981481481481482,1,0,0,9.989460099999633,call3,0.03888888888888889,-0.31342592592592594,1,0,0,10.457278199999564,colour4,0.4625,-0.4050925925925926,1,0,0,11.011949699999604,number4,False,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp07_Ti_We_4_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp07,Ti,We,4,,,,,,,,,,,,,0,0,0,0,0,23,23,15,-0.4152777777777778,-0.13703703703703704,1,0,0,4.858638899999278,call3,0.06388888888888888,-0.32037037037037036,1,0,0,5.609012099999745,colour4,0.43472222222222223,-0.38842592592592595,1,0,0,6.207167099999424,number4,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp01_Ti_Gr_1_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp01,Ti,Gr,1,,,,,,,,,,,,,0,0,0,0,0,24,24,4,-0.3902777777777778,-0.13287037037037036,1,0,0,5.272687999999107,call3,0.005555555555555556,0.09212962962962963,1,0,0,6.1240156999992905,colour2,0.42916666666666664,0.2962962962962963,1,0,0,6.865455600000132,number1,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp07_Ti_We_1_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp07,Ti,We,1,,,,,,,,,,,,,0,0,0,0,0,25,25,12,-0.40555555555555556,-0.1259259259259259,1,0,0,4.298225000000457,call3,-0.018055555555555554,-0.34120370370370373,1,0,0,4.952029500000208,colour4,0.3416666666666667,0.19768518518518519,1,0,0,5.414314999999988,number1,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp01_Un_Gr_1_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp01,Un,Gr,1,,,,,,,,,,,,,0,0,0,0,0,26,26,20,-0.3861111111111111,-0.3509259259259259,1,0,0,6.0396866999999475,call4,0.043055555555555555,0.0699074074074074,1,0,0,7.271923100001004,colour2,0.46805555555555556,0.33240740740740743,1,0,0,7.686769300000378,number1,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp01_Un_Ro_2_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp01,Un,Ro,2,,,,,,,,,,,,,0,0,0,0,0,27,27,25,-0.4222222222222222,-0.37592592592592594,1,0,0,5.145773099999133,call4,-0.041666666666666664,-0.13287037037037036,1,0,0,5.8346384999986185,colour3,0.3541666666666667,0.0824074074074074,1,0,0,6.630933400001595,number2,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp07_Un_Gr_2_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp07,Un,Gr,2,,,,,,,,,,,,,0,0,0,0,0,28,28,21,-0.4388888888888889,-0.34120370370370373,1,0,0,5.359022599999662,call4,0.019444444444444445,0.3435185185185185,1,0,0,6.079496199999994,colour1,0.39444444444444443,0.07685185185185185,1,0,0,6.631313799998679,number2,True,False,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp01_Ti_We_2_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp01,Ti,We,2,,,,,,,,,,,,,0,0,0,0,0,29,29,13,-0.5083333333333333,0.350462962962963,1,0,0,13.186254799999006,,,,,,,,,,,,,,,,NO_ANSW,NO_ANSW,NO_ANSW,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
