28.9679 	EXP 	Created number4 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-16.0, draggable=False, flipHoriz=False, flipVert=False, image='images/4.png', interpolate=True, mask=None, maskParams=None, name='number4', opacity=1.0, ori=0.0, pos=array([ 0.4   , -0.3125]), size=array([0.18, 0.18]), texRes=128, units='height', win=Window(...))
28.9680 	EXP 	window1: mouseVisible = True
28.9681 	EXP 	window1: mouseVisible = True
28.9682 	EXP 	window1: mouseVisible = True
28.9683 	EXP 	window1: mouseVisible = True
29.0052 	EXP 	Created blankScreenAfterResponse = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-25.0, draggable=False, flipHoriz=False, flipVert=False, image='images/blankScreen.png', interpolate=True, mask=None, maskParams=None, name='blankScreenAfterResponse', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1920., 1080.]), texRes=128, units='height', win=Window(...))
29.0054 	EXP 	window1: mouseVisible = True
29.0233 	EXP 	Created thanksText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='thanksText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
0.0045 	EXP 	window1: mouseVisible = False
0.0157 	EXP 	instrTrainText: autoDraw = True
2.9622 	EXP 	Imported order1.csv as conditions, 8 conditions, 1 params
2.9626 	EXP 	Created sequence: sequential, trialTypes=8, nReps=1, seed=None
2.9629 	EXP 	New trial (rep=0, index=0): OrderedDict([('condsFile', 'Y:\\Projects\\Spinco\\SINEEG\\Stimuli\\AudioGens\\flow_Experiment2\\tts-golang-selected_PsyPySEQ_NV1.csv')])
2.9662 	DATA 	Keypress: space
2.9699 	EXP 	instrTrainText: autoDraw = False
2.9699 	EXP 	blockStart: autoDraw = True
4.0362 	EXP 	Imported Y:\Projects\Spinco\SINEEG\Stimuli\AudioGens\flow_Experiment2\tts-golang-selected_PsyPySEQ_NV1.csv as conditions, 48 conditions, 30 params
4.0368 	EXP 	Created sequence: random, trialTypes=48, nReps=1, seed=None
