audiofile,duration,noise,voice,words,callSign,colour,number,levels,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,RAND_formula
audio/NV_DE_Neural2-F_Ad-gr-Dr_0.8p.wav,4.9406,NV,Neural2-F,Ad-gr-Dr,Ad,gr,Dr,0.8p,DE_Neural2-F_Ad-gr-Dr.TextGrid,0.17712,4.22712,0.68712,1.25712,2.05712,2.25712,3.37712,3.84712,0.975456557
audio/NV_DE_Neural2-D_Ad-ro-Dr_0.75p.wav,5.4214,NV,Neural2-D,Ad-ro-Dr,Ad,ro,Dr,0.75p,DE_Neural2-D_Ad-ro-Dr.TextGrid,0.16712,4.67712,0.76712,1.34712,2.39712,2.73712,3.90712,4.34712,0.977402419
audio/NV_DE_Neural2-D_Ti-gr-Vi_0.2p.wav,5.5195,NV,Neural2-D,Ti-gr-Vi,Ti,gr,Vi,0.2p,DE_Neural2-D_Ti-gr-Vi.TextGrid,0.17712,4.77712,0.85712,1.34712,2.49712,2.72712,3.93712,4.39712,0.977824261
audio/NV_DE_Neural2-D_Kr-ro-Vi_0.95p.wav,5.3776,NV,Neural2-D,Kr-ro-Vi,Kr,ro,Vi,0.95p,DE_Neural2-D_Kr-ro-Vi.TextGrid,0.16712,4.64712,0.78712,1.29712,2.35712,2.65712,3.79712,4.26712,0.978403228
audio/NV_DE_Neural2-D_Ad-ro-Dr_0.9p.wav,5.4214,NV,Neural2-D,Ad-ro-Dr,Ad,ro,Dr,0.9p,DE_Neural2-D_Ad-ro-Dr.TextGrid,0.16712,4.67712,0.76712,1.34712,2.39712,2.73712,3.90712,4.34712,0.978589242
audio/NV_DE_Neural2-D_Kr-ge-Vi_0.8p.wav,5.3664,NV,Neural2-D,Kr-ge-Vi,Kr,ge,Vi,0.8p,DE_Neural2-D_Kr-ge-Vi.TextGrid,0.17712,4.63712,0.78712,1.26712,2.25712,2.63712,3.78712,4.25712,0.97992262
audio/NV_DE_Neural2-D_Ad-ro-Zw_0.2p.wav,5.4646,NV,Neural2-D,Ad-ro-Zw,Ad,ro,Zw,0.2p,DE_Neural2-D_Ad-ro-Zw.TextGrid,0.16712,4.70712,0.77712,1.33712,2.36712,2.71712,3.87712,4.31712,0.980432078
audio/NV_DE_Neural2-D_Ad-we-Dr_0.95p.wav,5.4683,NV,Neural2-D,Ad-we-Dr,Ad,we,Dr,0.95p,DE_Neural2-D_Ad-we-Dr.TextGrid,0.17712,4.71712,0.78712,1.34712,2.37712,2.75712,3.93712,4.38712,0.980644314
audio/NV_DE_Neural2-D_Kr-we-Dr_0.8p.wav,5.3234,NV,Neural2-D,Kr-we-Dr,Kr,we,Dr,0.8p,DE_Neural2-D_Kr-we-Dr.TextGrid,0.17712,4.58712,0.78712,1.26712,2.27712,2.62712,3.78712,4.27712,0.982124758
audio/NV_DE_Neural2-D_Dr-ge-Ei_0.4p.wav,5.4374,NV,Neural2-D,Dr-ge-Ei,Dr,ge,Ei,0.4p,DE_Neural2-D_Dr-ge-Ei.TextGrid,0.16712,4.68712,0.78712,1.25712,2.20712,2.56712,3.71712,4.17712,0.982514385
audio/NV_DE_Neural2-F_Ad-ge-Zw_0.75p.wav,4.9664,NV,Neural2-F,Ad-ge-Zw,Ad,ge,Zw,0.75p,DE_Neural2-F_Ad-ge-Zw.TextGrid,0.16712,4.24712,0.67712,1.25712,1.99712,2.25712,3.31712,3.79712,0.983186745
audio/NV_DE_Neural2-F_Ad-gr-Zw_0.8p.wav,5.0032,NV,Neural2-F,Ad-gr-Zw,Ad,gr,Zw,0.8p,DE_Neural2-F_Ad-gr-Zw.TextGrid,0.17712,4.26712,0.67712,1.24712,1.99712,2.23712,3.33712,3.80712,0.985094046
