TrialID,NFB_digit1,NFB_digit2,NFB_digit3,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,calibration_block.thisRepN,calibration_block.thisTrialN,calibration_block.thisN,calibration_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,control_block.thisRepN,control_block.thisTrialN,control_block.thisN,control_block.thisIndex,ctrl_trials.thisRepN,ctrl_trials.thisTrialN,ctrl_trials.thisN,ctrl_trials.thisIndex,Digit1_clear.started,Digit1_clear.stopped,Digit2_clear.started,Digit2_clear.stopped,Digit3_clear.started,Digit3_clear.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,Begin.started,Begin.stopped,Fixation.started,Fixation.stopped,sound_digit1.started,sound_digit1.stopped,sound_digit2.started,sound_digit2.stopped,sound_digit3.started,sound_digit3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Begin_3.started,Begin_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.90885369999887,None,,,,,,,,,,,,,,,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
0.0,3.0,6.0,9.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,67.92006892999925,None,67.93265809999866,None,0.010390759991423693,None,0.48717825999483466,None,0.9539683599941782,None,['return'],[1.2172204999951646],71.3735727999956,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
0.0,3.0,6.0,9.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.32709340000292286],72.61936379999679,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
0.0,3.0,6.0,9.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.26828540000133216],72.96946979999484,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
0.0,3.0,6.0,9.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
1.0,8.0,0.0,3.0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,73.27573189999384,None,0.016238359996350482,None,0.4820158599977731,None,0.9654861599919968,None,['return'],[0.42654689999471884],76.72598409999773,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
1.0,8.0,0.0,3.0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[4.677353200000653],77.1691731999963,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
1.0,8.0,0.0,3.0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['return'],[0.4196483999985503],81.87385459999496,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
1.0,8.0,0.0,3.0,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
2.0,1.0,8.0,4.0,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,82.32324449999578,None,0.01273982999555301,None,1.471459929998673,None,1.9412348299956648,None,['return'],[1.5329043000019738],86.74064009999711,None,,,1,001,2021_Oct_15_1258,eeg_contingent_digits,2021.2.3,59.97846773021423,
