TrialID,NFB_digit1,NFB_digit2,NFB_digit3,Speaker_trial,TrialID_ME,NFB_digit1_ME,NFB_digit2_ME,NFB_digit3_ME,Speaker_trial_ME,NV_trial_ME,Triggered_trial_ME,Jitter_trial_ME,NV_trial,Triggered_trial,Jitter_trial,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,response_practice.thisRepN,response_practice.thisTrialN,response_practice.thisN,response_practice.thisIndex,ME_trials.thisRepN,ME_trials.thisTrialN,ME_trials.thisN,ME_trials.thisIndex,response_ME.thisRepN,response_ME.thisTrialN,response_ME.thisN,response_ME.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,response_exp.thisRepN,response_exp.thisTrialN,response_exp.thisN,response_exp.thisIndex,Digit1_clear.started,Digit1_clear.stopped,response_practice_resp.keys,response_practice_resp.rt,response_practice_resp.started,response_practice_resp.stopped,text_practice_repeat.started,text_practice_repeat.stopped,text_4.started,text_4.stopped,Fixation_ME.started,Fixation_ME.stopped,sound_digit_1_ME.started,sound_digit_1_ME.stopped,text_2.started,text_2.stopped,key_resp_ME.keys,key_resp_ME.rt,key_resp_ME.started,key_resp_ME.stopped,disp_answer_ME.started,disp_answer_ME.stopped,text_7.started,text_7.stopped,text_next_block_ME.started,text_next_block_ME.stopped,response_nextblock_ME.keys,response_nextblock_ME.started,response_nextblock_ME.stopped,response_nextblock_ME.rt,text_break.started,text_break.stopped,Fixation.started,Fixation.stopped,text_6.started,text_6.stopped,Fixation_Play.started,Fixation_Play.stopped,sound_digit1.started,sound_digit1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_nextblock.started,text_nextblock.stopped,response_nextblock.keys,response_nextblock.started,response_nextblock.stopped,response_nextblock.rt,participant,session,date,expName,psychopyVersion,frameRate,
1.0,9.0,2.0,4.0,21.0,,,,,,,,,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
2.0,6.0,1.0,9.0,7.0,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.20499720000225,None,75.20499720000225,None,77.24981090000074,None,0.0017376900068484247,None,['return'],[1.2665446000028169],78.66139690000273,None,,,,,,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
2.0,6.0,1.0,9.0,7.0,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
3.0,0.0,1.0,8.0,10.0,,,,,,,,,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.98818799999572,None,79.98818799999572,None,82.06175609999627,None,0.0018547900035628118,None,['return'],[0.7201143999991473],83.47886260000087,None,,,,,,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
3.0,0.0,1.0,8.0,10.0,,,,,,,,,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
4.0,0.0,5.0,2.0,21.0,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.25602819999767,None,84.25602819999767,None,86.31196420000197,None,0.0011838700011139736,None,['return'],[0.5145256999967387],87.72633279999718,None,,,,,,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
4.0,0.0,5.0,2.0,21.0,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
5.0,3.0,2.0,2.0,61.0,,,,,,,,,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.29241789999651,None,88.29241789999651,None,90.413143699996,None,0.01186195999616757,None,['return'],[0.5023674999974901],91.82546990000264,None,,,,,,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
5.0,3.0,2.0,2.0,61.0,,,,,,,,,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
6.0,0.0,2.0,5.0,7.0,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.39189169999736,None,92.39189169999736,None,94.44678389999899,None,0.0078387599933194,None,['return'],[0.6220923000000766],95.85951100000239,None,,,,,,,1,001,2021_Nov_17_2303,eeg_contingent_digits,2021.2.3,60.17035430840072,
