audiofile,duration,noise,voice,words,callSign,colour,number,levels,file,rater,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,newidx,block
audio/SiSSN_DE_Neural2-F_Ti-we-Vi_-7.5db.wav,5.0131,SiSSN,Neural2-F,Ti-we-Vi,Ti,we,Vi,-7.5db,DE_Neural2-F_Ti-we-Vi.TextGrid,Rahel,0.16712,4.26712,0.7386758910649958,1.2137971502935114,2.3082190678338432,2.67712,3.83712,4.26712,13,SSN1
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_0db.wav,5.3234,SiSSN,Neural2-D,Kr-we-Dr,Kr,we,Dr,0db,DE_Neural2-D_Kr-we-Dr.TextGrid,Rahel,0.17712,4.567630872257663,0.8409003308145002,1.2906148857070785,2.641307136213721,3.0330944700467293,4.311007054230318,4.567630872257663,24,SSN1
audio/SiSSN_DE_Neural2-D_Dr-gr-Ei_-5db.wav,5.5639,SiSSN,Neural2-D,Dr-gr-Ei,Dr,gr,Ei,-5db,DE_Neural2-D_Dr-gr-Ei.TextGrid,Rahel,0.16712,4.82712,0.836032757748513,1.263097501093421,2.662804379910526,3.0573184568419496,4.34712,4.82712,13,SSN1
audio/SiSSN_DE_Neural2-F_Dr-ro-Dr_-5db.wav,4.8729,SiSSN,Neural2-F,Dr-ro-Dr,Dr,ro,Dr,-5db,DE_Neural2-F_Dr-ro-Dr.TextGrid,Rahel,0.16712,4.120603951477335,0.6979565761242129,1.2008441752257752,2.2324811517044107,2.589405910250417,3.797889233686537,4.120603951477335,15,SSN1
audio/SiSSN_DE_Neural2-F_Ti-ro-Dr_-5db.wav,4.843,SiSSN,Neural2-F,Ti-ro-Dr,Ti,ro,Dr,-5db,DE_Neural2-F_Ti-ro-Dr.TextGrid,Rahel,0.17712,4.097919492055571,0.7270135188852809,1.198478884348244,2.2220290674846006,2.58712,3.791920336586821,4.097919492055571,2,SSN1
audio/SiSSN_DE_Neural2-D_Dr-ro-Zw_-5db.wav,5.3439,SiSSN,Neural2-D,Dr-ro-Zw,Dr,ro,Zw,-5db,DE_Neural2-D_Dr-ro-Zw.TextGrid,Rahel,0.17712,4.596832242446936,0.8470194010877168,1.2709519797096789,2.593345446715312,3.0066484474072257,4.2760690966754495,4.596832242446936,18,SSN1
audio/SiSSN_DE_Neural2-D_Kr-we-Dr_-5db.wav,5.3234,SiSSN,Neural2-D,Kr-we-Dr,Kr,we,Dr,-5db,DE_Neural2-D_Kr-we-Dr.TextGrid,Rahel,0.17712,4.567630872257663,0.8409003308145002,1.2906148857070785,2.641307136213721,3.0330944700467293,4.311007054230318,4.567630872257663,15,SSN1
audio/SiSSN_DE_Neural2-D_Kr-ge-Vi_-5db.wav,5.3664,SiSSN,Neural2-D,Kr-ge-Vi,Kr,ge,Vi,-5db,DE_Neural2-D_Kr-ge-Vi.TextGrid,Rahel,0.17712,4.622114311306552,0.8400161314515392,1.2908530006069945,2.6575986756576144,3.0180170083807774,4.252446608874249,4.622114311306552,14,SSN1
audio/SiSSN_DE_Neural2-D_Ti-ro-Vi_-5db.wav,5.4734,SiSSN,Neural2-D,Ti-ro-Vi,Ti,ro,Vi,-5db,DE_Neural2-D_Ti-ro-Vi.TextGrid,Rahel,0.17712,4.718420749969402,0.9054273598056396,1.3261826938486083,2.691949822829484,3.109503061483997,4.343775589520184,4.718420749969402,16,SSN1
audio/SiSSN_DE_Neural2-F_Dr-gr-Dr_0db.wav,4.9037,SiSSN,Neural2-F,Dr-gr-Dr,Dr,gr,Dr,0db,DE_Neural2-F_Dr-gr-Dr.TextGrid,Rahel,0.16712,4.149631232531388,0.6940861596405813,1.20712,2.247140409255011,2.58712,3.822585144597361,4.149631232531388,14,SSN1
audio/SiSSN_DE_Neural2-D_Ad-we-Vi_-7.5db.wav,5.5026,SiSSN,Neural2-D,Ad-we-Vi,Ad,we,Vi,-7.5db,DE_Neural2-D_Ad-we-Vi.TextGrid,Rahel,0.17712,4.7670654192042665,0.8187631622780684,1.353795661817999,2.7665796890921226,3.152884742911568,4.398144092806697,4.7670654192042665,12,SSN1
audio/SiSSN_DE_Neural2-D_Kr-ge-Dr_-7.5db.wav,5.3277,SiSSN,Neural2-D,Kr-ge-Dr,Kr,ge,Dr,-7.5db,DE_Neural2-D_Kr-ge-Dr.TextGrid,Rahel,0.16712,4.580728821878562,0.8376186974140144,1.2883187032999737,2.6793550015348093,3.03712,4.3133010175561886,4.580728821878562,4,SSN1
audio/SiSSN_DE_Neural2-F_Ti-ro-Dr_-7.5db.wav,4.843,SiSSN,Neural2-F,Ti-ro-Dr,Ti,ro,Dr,-7.5db,DE_Neural2-F_Ti-ro-Dr.TextGrid,Rahel,0.17712,4.097919492055571,0.7270135188852809,1.198478884348244,2.2220290674846006,2.58712,3.791920336586821,4.097919492055571,30,SSN1
audio/SiSSN_DE_Neural2-F_Dr-ro-Zw_-5db.wav,4.9019,SiSSN,Neural2-F,Dr-ro-Zw,Dr,ro,Zw,-5db,DE_Neural2-F_Dr-ro-Zw.TextGrid,Rahel,0.15712,4.171538012957664,0.6862862381876927,1.1864266408424955,2.200297393598229,2.54712,3.766607824569716,4.171538012957664,1,SSN1
audio/SiSSN_DE_Neural2-D_Kr-ro-Ei_-7.5db.wav,5.4911,SiSSN,Neural2-D,Kr-ro-Ei,Kr,ro,Ei,-7.5db,DE_Neural2-D_Kr-ro-Ei.TextGrid,Rahel,0.16712,4.73956596156588,0.8411731639625895,1.281925784127159,2.6435069361412333,3.033502330368484,4.267331011389552,4.73956596156588,18,SSN1
audio/SiSSN_DE_Neural2-F_Ti-we-Vi_-5db.wav,5.0131,SiSSN,Neural2-F,Ti-we-Vi,Ti,we,Vi,-5db,DE_Neural2-F_Ti-we-Vi.TextGrid,Rahel,0.16712,4.26712,0.7386758910649958,1.2137971502935114,2.3082190678338432,2.67712,3.83712,4.26712,14,SSN1
audio/SiSSN_DE_Neural2-F_Dr-ro-Vi_-7.5db.wav,4.94,SiSSN,Neural2-F,Dr-ro-Vi,Dr,ro,Vi,-7.5db,DE_Neural2-F_Dr-ro-Vi.TextGrid,Rahel,0.16712,4.20712,0.6867520288037499,1.1930913083176389,2.214665738544398,2.5684096187527325,3.76712,4.20712,6,SSN1
audio/SiSSN_DE_Neural2-D_Ti-gr-Zw_-5db.wav,5.4849,SiSSN,Neural2-D,Ti-gr-Zw,Ti,gr,Zw,-5db,DE_Neural2-D_Ti-gr-Zw.TextGrid,Rahel,0.16712,4.758929065550482,0.9137618849490922,1.332199076588994,2.759659413882789,3.1511420625029425,4.427773251307859,4.758929065550482,3,SSN1
audio/SiSSN_DE_Neural2-F_Dr-ge-Ei_-7.5db.wav,5.1509,SiSSN,Neural2-F,Dr-ge-Ei,Dr,ge,Ei,-7.5db,DE_Neural2-F_Dr-ge-Ei.TextGrid,Rahel,0.17712,4.387570097684014,0.7119673900602213,1.219432705818685,2.2929727048028643,2.59712,3.784879698920992,4.387570097684014,23,SSN1
audio/SiSSN_DE_Neural2-D_Ad-we-Ei_-5db.wav,5.6307,SiSSN,Neural2-D,Ad-we-Ei,Ad,we,Ei,-5db,DE_Neural2-D_Ad-we-Ei.TextGrid,Rahel,0.16712,4.858826332545234,0.817763119124899,1.3441722754551948,2.7538762319899903,3.1465418855229776,4.421359899750092,4.858826332545234,25,SSN1
audio/SiSSN_DE_Neural2-D_Dr-gr-Zw_-5db.wav,5.4445,SiSSN,Neural2-D,Dr-gr-Zw,Dr,gr,Zw,-5db,DE_Neural2-D_Dr-gr-Zw.TextGrid,Rahel,0.16712,4.6893748963191255,0.8432861736260372,1.2852909724095325,2.6487842311585776,3.0596743038772187,4.359388760399349,4.6893748963191255,26,SSN1
audio/SiSSN_DE_Neural2-D_Dr-ro-Zw_0db.wav,5.3439,SiSSN,Neural2-D,Dr-ro-Zw,Dr,ro,Zw,0db,DE_Neural2-D_Dr-ro-Zw.TextGrid,Rahel,0.17712,4.596832242446936,0.8470194010877168,1.2709519797096789,2.593345446715312,3.0066484474072257,4.2760690966754495,4.596832242446936,12,SSN1
audio/SiSSN_DE_Neural2-F_Ad-gr-Ei_-5db.wav,5.2153,SiSSN,Neural2-F,Ad-gr-Ei,Ad,gr,Ei,-5db,DE_Neural2-F_Ad-gr-Ei.TextGrid,Rahel,0.17712,4.456775335044987,0.722056744175739,1.2505074763845785,2.2853327258505147,2.6636692777783217,3.900254471564084,4.456775335044987,7,SSN1
audio/SiSSN_DE_Neural2-F_Dr-we-Dr_-7.5db.wav,4.9166,SiSSN,Neural2-F,Dr-we-Dr,Dr,we,Dr,-7.5db,DE_Neural2-F_Dr-we-Dr.TextGrid,Rahel,0.16712,4.179945434905612,0.6979864562789353,1.21712,2.283591729329971,2.6425615273855265,3.85434141936163,4.179945434905612,17,SSN1
audio/SiSSN_DE_Neural2-F_Dr-we-Ei_0db.wav,5.146,SiSSN,Neural2-F,Dr-we-Ei,Dr,we,Ei,0db,DE_Neural2-F_Dr-we-Ei.TextGrid,Rahel,0.17712,4.392730314654163,0.7088850790538193,1.2122573917968746,2.2378705016695672,2.595529776513317,3.795427283265276,4.392730314654163,20,SSN1
audio/SiSSN_DE_Neural2-D_Ti-ge-Vi_-7.5db.wav,5.4912,SiSSN,Neural2-D,Ti-ge-Vi,Ti,ge,Vi,-7.5db,DE_Neural2-D_Ti-ge-Vi.TextGrid,Rahel,0.17712,4.695952134991509,0.9091663863292324,1.32358517675892,2.700845743112182,3.0722163801173905,4.322653968728488,4.695952134991509,22,SSN1
audio/SiSSN_DE_Neural2-F_Kr-ge-Vi_-7.5db.wav,5.0233,SiSSN,Neural2-F,Kr-ge-Vi,Kr,ge,Vi,-7.5db,DE_Neural2-F_Kr-ge-Vi.TextGrid,Rahel,0.16712,4.25712,0.7354741046207681,1.2514027581428957,2.3050326397060275,2.613019308128336,3.818802725551081,4.25712,7,SSN1
audio/SiSSN_DE_Neural2-D_Ti-ro-Zw_0db.wav,5.4665,SiSSN,Neural2-D,Ti-ro-Zw,Ti,ro,Zw,0db,DE_Neural2-D_Ti-ro-Zw.TextGrid,Rahel,0.17712,4.707124758783471,0.9077446790742616,1.331169891800318,2.672580094406839,3.06850185675945,4.358534515678183,4.707124758783471,3,SSN1
audio/SiSSN_DE_Neural2-F_Dr-ro-Dr_-7.5db.wav,4.8729,SiSSN,Neural2-F,Dr-ro-Dr,Dr,ro,Dr,-7.5db,DE_Neural2-F_Dr-ro-Dr.TextGrid,Rahel,0.16712,4.120603951477335,0.6979565761242129,1.2008441752257752,2.2324811517044107,2.589405910250417,3.797889233686537,4.120603951477335,31,SSN1
